Lampen_ID;XREF;YREF
00001;564523.25;5950394.82
00002;564549.78;5950403.62
00003;564573.37;5950397.94
00004;564597.96;5950403.19
00005;564622.51;5950409.72
00006;565572.92;5949101.68
00007;565600.72;5949103.19
00008;565623.62;5949104.07
00009;565649.57;5949105.75
00010;565550.62;5949098.04
00011;565277.58;5949132.74
00012;565277.09;5949159.79
00013;564405.89;5951428.60
00014;564389.33;5951438.08
00015;564380.48;5951455.73
00016;564372.09;5951477.37
00017;564361.08;5951501.79
00018;565458.86;5952488.48
00019;565465.41;5952511.23
00020;565464.09;5952535.18
00021;565462.04;5952558.94
00022;565460.19;5952584.23
00023;565457.17;5952612.50
00024;565455.52;5952631.74
00025;565453.23;5952659.37
00026;565444.38;5952682.15
00027;565440.30;5952708.22
00028;565437.00;5952731.73
00029;565433.60;5952756.73
00030;565478.84;5952182.76
00031;565471.36;5952204.10
00032;565472.28;5952230.61
00033;565471.62;5952258.14
00034;565469.48;5952282.82
00035;565466.68;5952309.27
00036;565462.25;5952335.90
00037;565458.27;5952362.13
00038;565457.45;5952388.62
00039;565455.81;5952408.33
00040;565470.25;5952436.33
00041;565490.46;5952440.24
00043;565518.82;5952429.33
00044;565533.91;5952418.59
00045;565513.33;5952442.54
00046;565537.02;5952449.67
00049;565554.41;5952453.69
00060;565548.84;5952409.86
00061;565561.87;5952401.99
00063;565574.54;5952391.49
00064;565455.28;5952423.83
00065;566810.05;5949072.50
00066;566826.47;5949039.61
00067;566825.40;5949004.63
00068;567115.23;5949102.53
00069;566318.62;5951954.56
00070;566306.30;5951910.34
00071;566320.10;5951931.23
00072;566268.63;5951878.21
00073;566253.18;5951860.17
00074;566238.49;5951844.06
00075;566189.58;5951829.38
00076;566170.46;5951837.47
00077;566229.80;5951822.80
00078;566150.83;5951843.82
00079;566125.98;5951843.02
00080;565863.37;5950857.38
00081;566460.46;5951518.55
00082;566448.54;5951492.45
00083;566469.71;5951459.96
00084;566506.43;5951444.00
00085;566433.10;5951475.93
00086;566452.55;5951443.91
00087;566439.35;5951391.30
00088;566401.17;5951345.75
00089;566371.04;5951294.30
00090;566330.59;5951253.76
00091;566298.13;5951227.91
00092;566335.88;5951270.72
00093;566309.67;5951286.81
00094;566282.21;5951304.30
00095;566252.67;5951314.47
00096;566221.39;5951312.79
00097;566192.29;5951319.86
00098;566162.43;5951316.75
00099;566170.94;5951282.17
00100;564666.09;5950960.92
00101;564640.48;5950971.87
00102;564617.86;5950996.43
00103;564630.61;5951008.36
00104;564657.89;5951007.71
00105;564630.60;5951029.84
00106;564643.29;5951051.62
00107;564643.61;5951079.07
00108;564626.54;5951094.15
00109;564618.14;5951121.46
00110;564603.39;5951107.60
00111;564569.52;5951106.57
00112;564664.63;5951141.24
00113;564692.93;5951139.77
00114;564618.67;5951142.50
00115;564639.66;5951138.47
00116;564622.74;5951171.95
00117;564607.54;5951195.08
00118;564592.10;5951212.53
00119;564581.83;5951243.33
00120;564570.92;5951269.90
00121;564569.61;5951281.79
00122;564563.74;5951299.80
00123;564557.60;5951319.24
00124;564549.63;5951341.23
00125;565368.18;5951384.24
00126;565410.50;5951362.79
00127;565422.43;5951361.32
00128;565417.97;5951382.30
00129;565435.00;5951388.32
00130;565448.28;5951382.69
00131;565369.93;5951327.65
00132;565389.47;5951348.91
00133;565356.90;5951353.01
00134;565356.67;5951311.85
00135;565319.60;5951270.20
00136;565340.29;5951287.24
00137;565271.60;5951236.63
00138;565289.16;5951249.25
00139;565239.76;5951207.75
00140;565255.31;5951222.17
00141;565205.60;5951188.11
00142;565185.60;5951187.64
00143;565226.48;5951190.14
00144;565280.23;5951110.80
00145;565301.44;5951129.45
00146;565327.19;5951147.90
00147;565354.74;5951158.84
00148;565385.30;5951164.63
00149;565410.65;5951173.06
00150;565249.53;5951064.68
00151;565259.29;5951091.38
00152;565242.93;5951033.25
00153;565237.90;5951003.21
00154;565217.80;5950978.85
00155;565184.50;5950961.88
00156;565185.01;5950982.28
00157;565123.02;5951115.54
00158;565162.42;5950987.42
00159;565109.46;5950909.85
00160;565122.71;5950937.05
00161;565136.02;5950962.17
00162;565150.59;5950982.48
00163;565122.52;5950861.96
00164;565101.93;5950880.95
00165;564981.40;5950753.94
00166;565003.10;5950775.44
00167;565027.13;5950792.90
00168;565050.46;5950810.33
00169;565073.78;5950830.63
00170;565089.23;5950855.70
00171;568007.93;5949473.35
00172;568038.97;5949449.65
00173;568019.12;5949433.15
00174;568114.33;5949448.25
00175;568103.84;5949498.98
00176;568167.02;5949515.91
00177;568274.28;5949530.58
00178;568120.17;5949423.26
00179;568283.86;5949495.80
00180;564887.50;5951538.10
00181;564858.53;5951545.07
00182;564849.38;5951541.44
00183;564853.01;5951545.99
00184;564827.20;5951565.97
00185;564794.43;5951572.80
00186;564770.68;5951622.72
00187;564777.60;5951591.72
00188;564765.58;5951641.32
00189;564748.89;5951663.29
00190;564812.29;5951638.98
00191;564780.42;5951682.89
00192;564786.96;5951655.09
00193;564773.42;5951704.27
00194;564784.45;5951737.55
00195;564835.17;5951730.62
00196;564811.88;5951743.17
